stress_id,capacitor_id,window_start_day,window_end_day,n_samples_total,VO_mean_V,VO_std_V,VO_min_V,VO_max_V,VO_rms_V,VL_mean_V,VL_std_V,VL_rms_V,VL_valid_pct
ES10,ES10C1,0,10,6205,-0.022013870146002153,0.11698809466457809,-0.2677535025686213,0.2783113055087525,0.11904127339731095,0.048998237844971065,0.08361093227824745,0.09691034675590648,67.36502820306205
ES10,ES10C1,10,20,5461,-0.027726138105051958,0.1156259611925232,-0.26417808197854703,0.2287623681195772,0.11890374946113053,0.05693891206286265,0.07432106022318509,0.09362510186697108,59.97070133675151
ES10,ES10C1,20,30,1536,-0.034794790734416256,0.11379171105896832,-0.25651556678176524,0.19147314016893488,0.11899256686020161,0.0639404874257877,0.06620943903542682,0.09204387947948096,51.106770833333336
ES10,ES10C1,30,40,6313,-0.029292100843585727,0.11694890319462688,-0.2611127610235164,0.2302942414062977,0.12056149107512318,0.06143108189083388,0.07401126596458867,0.09618443383395996,56.755900522730876
ES10,ES10C1,40,50,779,-0.010287684330398407,0.11740965972341162,-0.2263771800112714,0.20373127522587814,0.11785951232399203,0.07407673232943031,0.07427076585210714,0.10489761166425376,62.64441591784339
ES10,ES10C1,60,70,4220,-0.02306700753083065,0.11731903279972425,-0.26468818161359065,0.19760220769740652,0.11956522192297464,0.0713126157482489,0.07040722650765976,0.10021310647494322,56.56398104265403
ES10,ES10C1,70,80,7200,-0.022614002848634553,0.11790746146421088,-0.26468818161359065,0.22825069410294396,0.12005649750751696,0.06562243994200653,0.07510762153673192,0.09973695121090885,59.263888888888886
ES10,ES10C1,80,90,5037,-0.03510097847235667,0.11601432943366752,-0.26213453467519326,0.20127447067492335,0.12120809924943292,0.047048739289047015,0.07758727427325579,0.09073791378383204,60.929124478856465
ES10,ES10C1,90,100,6832,-0.026309195052067753,0.11744411406353975,-0.26395225485134527,0.2309907928293641,0.1203548655952782,0.06474516477309353,0.07329768445792509,0.09779819481150244,56.835480093676814
ES10,ES10C1,100,110,7198,-0.032342072234550705,0.11894286336551567,-0.2660019830985801,0.2309907928293641,0.12326156895810074,0.06124358654609458,0.07333565355973742,0.09554525093411395,57.01583773270353
ES10,ES10C1,110,120,4789,-0.018119256187929332,0.11647534163891807,-0.2619025266041105,0.23252887858653412,0.1178762599283948,0.07362235900613316,0.07089834660591729,0.10220972212603233,56.963875548131135
